,index,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Complaint ID
0,15237,2016-06-27,Bank account or service,Checking account,"Account opening, closing, or management",,"Wells Fargo opened XXXX debit cards under my XXXX XXXX university state ID and then when I found out they closed all my account including credit card which is totally separate from Banking system and the manager at XXXX XXXX XXXX loc # XXXX Named XXXX XXXX, XXXX XXXX, XXXX XXXX, XXXX XXXX, XXXX XXXX XXXX they were XXXX owned by XXXX XXXX and her sister XXXX XXXX XXXX sister. 
Then I had fraud department do the investigation and found out to be the above stated people are the one stole my identity. The money spenders were my uncle XXXX XXXX and XXXX XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Wells Fargo & Company,CA,958XX,Servicemember,Consent provided,Web,2016-06-27,Closed with explanation,Yes,1985764
1,37210,2016-02-02,Bank account or service,Other bank product/service,Deposits and withdrawals,,,Company chooses not to provide a public response,Bank of America,MA,01730,,,Postal mail,2016-02-02,Closed with explanation,Yes,1768779
2,51020,2013-09-09,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,Bank of America,MD,21211,,,Postal mail,2013-09-13,Closed with explanation,Yes,519895
3,85412,2012-03-01,Bank account or service,Checking account,Problems caused by my funds being low,,,,"Citizens Financial Group, Inc.",MA,02067,,,Phone,2012-03-02,Closed with relief,Yes,28910
4,22231,2014-06-19,Bank account or service,Checking account,"Account opening, closing, or management",,,,Wells Fargo & Company,MN,55124,Older American,,Web,2014-06-19,Closed with explanation,Yes,901795
5,27693,2012-08-28,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,KeyBank NA,ME,04064,,,Fax,2012-08-29,Closed with monetary relief,Yes,143078
6,50720,2014-11-21,Bank account or service,Checking account,"Account opening, closing, or management",,,,PNC Bank N.A.,GA,30318,,,Web,2014-11-21,Closed with explanation,Yes,1144088
7,32045,2014-02-04,Bank account or service,Checking account,Deposits and withdrawals,,,,BBVA Compass,GA,30328,,,Referral,2014-02-07,Closed with explanation,Yes,699751
8,41866,2016-06-09,Bank account or service,Checking account,Deposits and withdrawals,,"I am a Bank of America customers for years. I have personal checking and business checking account with Bank Of America. It is the first bank I opened when I came to USA and that I dont want to loose. 
Due to misunderstanding of agreement between you and me. I made a mistake by placing third party personal checks to business account. I was using my business account at XXXX bank for these purposes and I did not have any issues with them so far. I thought the agreement same as for XXXX. By the way, if I committed the fraud, I would be complaining and writing this statement, all actions were done because owners of checks had no way to cash it in their home country - XXXX, they asked me to do so. I have their authorization letters, copy of passport. 
Now XXXX is closing my both personal and business accounts. 
My impressions with Bank of America is associated with my impressions of USA, since it is the first bank I opened in the USA. I do not want to loose those impressions, please do not take them from me.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Bank of America,NY,112XX,,Consent provided,Web,2016-06-09,Closed with explanation,Yes,1962863
9,101490,2016-06-20,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,"On or about XXXX XXXX, 2016 I received a letter stated that Huntington Bank had not received my mortgage payment on Account No. XXXX. On or about XXXX XXXX, 2016 I visited the XXXX XXXX Branch and met with the Branch Manager XXXX XXXX I presented him copies cancelled checks on both mortgage accounts. He called the account center and after research stated they found record of payment received and could not understand why the late payment letter was generated. 

On of about XXXX XXXX, 2016 received a call from Huntington Representative XXXX XXXX He stated that they had not received my mortgage payment. I explain my meeting with XXXX XXXX. On or about XXXX XXXX, 2016 received a called from Huntington Representative XXXX XXXX, he stated they had not received payment but later changed his allegation and stated they received a payment of {$2000.00} but my mortgage payment amount is {$2300.00}. I emailed a copy of my cancelled check showing Huntington cashed my check on XXXX XXXX, 2016 in the amount of {$2300.00}. My mortgage due date is XXXX XXXX, 2016. 

I have had this account for about 15 years. To the best of my knowledge I have never been late. It appears that Huntington Bank is attempting to jeopardize my excellent credit history so that I will not qualify for a line of credit on another account. 

Copy of cancelled check and mortgage invoice attached.",,The Huntington National Bank,OH,452XX,Older American,Consent provided,Web,2016-06-20,Closed with explanation,Yes,1976792
